Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:16:04
Elapsed Time;00:00:54:968
Samples;904

--Statistics--
Minimum [W];1,725E-05
Maximum [W];0,04942
Mean [W];0,032583
Standard Deviation [W];0,015697
Ratio;2864,865 : 1

--Graph Data--
Time (ms);Power (W)
0,000;1,7254E-05
59,840;1,7256E-05
119,840;1,7252E-05
180,516;1,725E-05
240,516;1,7251E-05
300,195;1,7253E-05
360,195;1,7255E-05
419,875;1,7256E-05
479,875;1,7255E-05
539,585;1,7255E-05
599,585;1,7257E-05
660,231;1,7258E-05
719,231;1,7257E-05
779,910;1,7256E-05
839,910;1,7256E-05
899,589;1,7256E-05
959,589;1,7258E-05
1021,264;1,7256E-05
1079,264;1,7254E-05
1139,264;1,7257E-05
1198,790;1,7257E-05
1258,790;1,7257E-05
1319,464;1,7258E-05
1379,464;1,7259E-05
1439,143;1,7262E-05
1499,143;1,7263E-05
1558,822;1,726E-05
1618,822;1,7259E-05
1678,531;1,726E-05
1738,531;1,726E-05
1798,213;1,7265E-05
1858,213;1,7279E-05
1918,858;1,7303E-05
1978,858;1,7325E-05
2038,537;1,7367E-05
2098,537;1,7478E-05
2158,217;1,7675E-05
2218,217;1,7951E-05
2277,897;1,8284E-05
2337,897;1,8732E-05
2398,573;1,9327E-05
2457,573;1,9878E-05
2520,246;2,054E-05
2578,246;2,2208E-05
2638,246;2,4988E-05
2697,771;2,8222E-05
2757,771;3,4696E-05
2817,450;4,5639E-05
2877,450;6,3185E-05
2937,130;0,00010652
3416,844;0,0063715
3476,844;0,0068774
3537,523;0,00715
3597,523;0,0071826
3657,206;0,0071275
3717,206;0,0070975
3776,908;0,007104
3836,908;0,0071124
3897,557;0,0071156
3956,557;0,0071227
4017,236;0,0071264
4076,236;0,0071375
4136,236;0,0071484
4196,755;0,0071498
4256,755;0,0071413
4316,434;0,00713
4376,434;0,0071345
4436,146;0,0071443
4496,146;0,0071399
4555,825;0,0071319
4615,825;0,0071266
4675,472;0,0071354
4735,472;0,0071503
4796,149;0,0071485
4856,149;0,0071339
4915,827;0,0071298
4975,827;0,0071357
5035,506;0,0071395
5095,506;0,0071397
5155,186;0,0071357
5215,186;0,0071286
5274,865;0,0071174
5334,865;0,0071198
5395,543;0,0071429
5455,543;0,0071566
5515,221;0,0071486
5575,221;0,0071383
5635,221;0,0071301
5694,770;0,0071222
5754,770;0,0071225
5815,420;0,0071365
5875,420;0,0071449
5935,096;0,0071358
5995,096;0,0071246
6054,776;0,0071176
6114,776;0,0071183
6174,487;0,0071199
6234,487;0,0071387
6294,134;0,007157
6354,134;0,0071505
6413,814;0,007137
6474,814;0,0071267
6534,492;0,007123
6594,492;0,00712
6654,198;0,0071259
6715,198;0,0071371
6773,878;0,0071394
6834,878;0,0071329
6893,552;0,0071238
6954,552;0,0071183
7013,552;0,0071142
7074,045;0,0071116
7133,045;0,0071197
7194,750;0,0071329
7253,750;0,0071463
7314,433;0,0071512
7373,433;0,0071417
7435,076;0,0071275
7493,076;0,0071136
7554,757;0,0071037
7613,757;0,0071031
7674,437;0,0071057
7732,437;0,0071106
7794,115;0,0071171
7852,115;0,0071193
7914,791;0,00712
7972,791;0,0071399
8034,472;0,0072314
8093,472;0,0074943
8156,146;0,0080229
8212,146;0,0088312
8274,220;0,0097697
8332,220;0,010782
8396,890;0,011793
8871,655;0,017215
8931,458;0,017607
8991,458;0,017809
9052,138;0,017842
9112,138;0,017842
9171,814;0,017821
9231,814;0,017818
9291,493;0,017803
9351,493;0,017729
9411,174;0,017663
9471,174;0,017661
9530,852;0,017669
9590,852;0,017665
9651,530;0,01765
9711,530;0,01765
9771,237;0,017659
9831,237;0,017655
9891,885;0,017646
9950,885;0,017647
10010,885;0,017652
10070,405;0,017654
10130,405;0,017648
10190,114;0,017641
10250,114;0,01764
10310,763;0,017642
10370,763;0,017646
10430,441;0,017644
10490,441;0,017643
10550,144;0,017647
10610,144;0,017649
10669,800;0,017646
10729,800;0,017638
10790,477;0,01763
10850,477;0,01763
10910,187;0,017635
10970,187;0,017639
11029,835;0,017641
11089,835;0,017634
11149,546;0,017622
11209,546;0,017629
11270,191;0,017641
11329,191;0,017643
11389,191;0,017638
11449,710;0,017627
11509,710;0,017621
11569,390;0,017619
11629,390;0,017624
11689,069;0,017632
11749,069;0,017627
11808,748;0,017617
11868,748;0,017615
11929,425;0,017611
11989,425;0,017613
12049,105;0,017616
12109,105;0,017602
12168,795;0,017598
12228,795;0,017598
