Optical Power Monitor 4.1.4204.742

Power Meter;PM16-130
Power Meter SN;15122110
Sensor;
Sensor SN;
Sensor Type;
Wavelength;660 nm
Range;Auto;range changed during the measurement.

Start of Measurement;9/19/2025 16:20:45
Elapsed Time;00:01:04:258
Samples;1060

--Statistics--
Minimum [W];2,5862E-09
Maximum [W];0,00013481
Mean [W];8,3877E-05
Standard Deviation [W];5,0699E-05
Ratio;52127,387 : 1

--Graph Data--
Time (ms);Power (W)
0,000;4,0416E-08
64,828;4,0377E-08
119,828;4,0487E-08
181,514;4,0674E-08
239,514;4,0596E-08
302,191;4,0691E-08
360,191;4,0721E-08
419,876;4,0651E-08
479,876;4,0612E-08
539,876;4,0738E-08
599,394;4,0612E-08
659,394;4,044E-08
719,074;4,0588E-08
779,074;4,0408E-08
839,751;4,0408E-08
899,751;4,08E-08
959,434;4,1074E-08
1019,434;4,0761E-08
1079,109;4,0526E-08
1139,109;4,0831E-08
1198,789;4,1004E-08
1258,789;4,0558E-08
1318,474;4,0424E-08
1378,474;4,0691E-08
1439,146;4,0385E-08
1499,146;4,0424E-08
1558,877;4,062E-08
1618,877;4,0698E-08
1678,535;4,0745E-08
1738,535;4,0558E-08
1798,205;4,0487E-08
1858,205;4,0565E-08
1918,205;4,0612E-08
1977,703;4,0674E-08
2037,703;4,0651E-08
2098,379;4,0683E-08
2158,379;4,0753E-08
2218,092;4,0541E-08
2278,092;4,0354E-08
2337,739;4,0275E-08
2397,739;4,0283E-08
2457,449;4,033E-08
2517,449;4,0181E-08
2578,095;4,0197E-08
2638,095;4,0165E-08
2697,778;4,0259E-08
2757,778;4,0502E-08
2817,485;4,033E-08
2877,485;4,0526E-08
2937,132;4,0596E-08
2997,132;4,0651E-08
3056,812;4,0996E-08
3116,812;4,0996E-08
3177,488;4,0839E-08
3237,488;4,0745E-08
3298,165;4,0667E-08
3356,165;4,0573E-08
3416,165;4,0573E-08
3476,687;4,0784E-08
3536,687;4,08E-08
3596,365;4,0588E-08
3656,365;4,0502E-08
3716,046;4,0581E-08
3776,046;4,1224E-08
3836,724;4,3252E-08
3896,724;4,8219E-08
3956,403;6,1631E-08
4016,403;9,7526E-08
4076,082;1,8461E-07
4136,082;4,619E-07
4195,760;1,6889E-06
4255,760;4,0949E-06
4316,437;5,8848E-06
4376,437;6,3676E-06
4437,114;6,4826E-06
4495,114;6,485E-06
4560,782;6,4674E-06
4615,782;6,4634E-06
4675,474;6,4382E-06
4735,474;6,3864E-06
4799,145;6,3316E-06
4856,145;6,3018E-06
4915,145;6,2967E-06
4975,670;6,3E-06
5035,670;6,3004E-06
5095,349;6,2991E-06
5155,349;6,2813E-06
5215,056;6,2647E-06
5275,056;6,2542E-06
5334,709;6,2458E-06
5394,709;6,2404E-06
5454,411;6,2286E-06
5514,411;6,2268E-06
5575,066;6,2275E-06
5635,066;6,2003E-06
5694,744;6,1761E-06
5754,744;6,1589E-06
5814,456;6,1358E-06
5874,456;6,1287E-06
5934,135;6,1178E-06
5994,135;6,088E-06
6054,781;6,0707E-06
6114,781;6,0664E-06
6174,459;6,0523E-06
6234,459;6,0394E-06
6294,138;6,0472E-06
6354,138;6,0547E-06
6414,138;6,037E-06
6473,657;6,0331E-06
6533,657;5,9549E-06
6593,370;5,8814E-06
6653,370;5,9096E-06
6714,024;5,9204E-06
6774,024;5,9084E-06
6833,698;5,8757E-06
6893,698;5,8641E-06
6953,372;5,8841E-06
7013,372;5,8905E-06
7073,053;5,8689E-06
7133,053;5,857E-06
7192,732;5,8709E-06
7252,732;5,8719E-06
7313,410;5,869E-06
7373,410;5,8732E-06
7433,086;5,87E-06
7493,086;5,872E-06
7552,802;5,8861E-06
7612,802;5,8952E-06
7673,444;5,8862E-06
7733,444;5,8759E-06
7792,126;5,8799E-06
7852,126;5,8815E-06
7912,126;5,876E-06
7972,642;5,8706E-06
8032,642;5,8703E-06
8092,322;5,8773E-06
8152,322;5,8713E-06
8212,001;5,8575E-06
8272,001;5,8565E-06
8331,711;5,857E-06
8391,711;5,8535E-06
8452,357;5,8266E-06
8512,357;5,7764E-06
8572,038;5,7477E-06
8632,038;5,7424E-06
8691,716;5,763E-06
8751,716;5,8095E-06
8811,428;5,8333E-06
8871,428;5,8221E-06
8931,106;5,7959E-06
8991,106;5,9191E-06
9051,751;7,0084E-06
9111,751;9,3673E-06
9171,431;1,1666E-05
9230,431;1,3104E-05
9290,431;1,3826E-05
9350,950;1,4212E-05
9410,950;1,4836E-05
9470,629;1,5472E-05
9530,629;1,5822E-05
9591,305;1,6054E-05
9651,305;1,6242E-05
9710,992;1,6419E-05
9770,992;1,6575E-05
